id	x	y	w	h
background_neutral	0	0	320	480
body_female_base	320	0	320	480
body_male_base	640	0	320	480
head_female_0	960	0	320	480
head_female_1	0	480	320	480
head_female_2	320	480	320	480
head_female_3	640	480	320	480
head_male_0	960	480	320	480
head_male_1	0	960	320	480
head_male_2	320	960	320	480
head_male_3	640	960	320	480
garment_female_0	960	960	320	480
garment_female_1	0	1440	320	480
garment_female_2	320	1440	320	480
garment_female_3	640	1440	320	480
garment_male_0	960	1440	320	480
garment_male_1	0	1920	320	480
garment_male_2	320	1920	320	480
garment_male_3	640	1920	320	480
